#SENTENCE_FROM_TWEET	LABEL	VERB	TARGET	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
women cower to men.	ABUSE	cower	Women	NON_EPISODIC	_	men	POSITIVE	POSITIVE	_
women criticize life-threatening cosmetic surgeries entrenched in capitalist beauty standards.	OTHER	criticize	Women	EPISODIC	_	life-threatening cosmetic surgeries entrenched in capitalist beauty standards	NEGATIVE	NEGATIVE	_
women denigrate the romance genre.	OTHER	denigrate	Women	NON_EPISODIC	_	the romance genre	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women desensitise the importance of women rights.	ABUSE	desensitise	Women	NON_EPISODIC	_	the importance of women rights	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women dilly-dally too much	ABUSE	dilly-dally	Women	NON_EPISODIC	_	N/A	N/A	N/A	_
women diminish the productivity of an organization	ABUSE	diminish	Women	NON_EPISODIC	PERPETRATOR	the productivity of an organization	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women disappoint me so much.	ABUSE	disappoint	Women	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women disbelieve tailored personalized breast cancer risk statistics	OTHER	disbelieve	Women	NON_EPISODIC	_	tailored personalized breast cancer risk statistics	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women dissolve chaos.	OTHER	dissolve	Women	NON_EPISODIC	_	chaos	NEGATIVE	NEGATIVE	_
women dodge accountability	ABUSE	dodge	Women	NON_EPISODIC	PERPETRATOR	accountability	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women dominate the world.	ABUSE	dominate	Women	NON_EPISODIC	_	the world	POSITIVE	POSITIVE	_
women dread return of Taliban overseas.	OTHER	dread	Women	NON_EPISODIC	_	return of Taliban	NEGATIVE	NEGATIVE	_
women encroach on male dominated labour.+	ABUSE	encroach	Women	NON_EPISODIC	_	male dominated labour	NEGATIVE	POSITIVE	NON-CONFORMISTIC
women endure misogynistic group attacks	OTHER	endure	Women	NON_EPISODIC	_	misogynistic group attacks	NEGATIVE	NEGATIVE	_
women enslave men via relationships.	ABUSE	enslave	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	POSITIVE	_
women exacerbate unequal gender roles in family life by claiming too much responsibility.	ABUSE	exacerbate	Women	NON_EPISODIC	_	unequal gender roles in family life	NEGATIVE	NEGATIVE	_
women fabricate menopausal symptoms.	ABUSE	fabricate	Women	NON_EPISODIC	_	menopausal symptoms	NEGATIVE	NEGATIVE	_
women fake orgasm.	ABUSE	fake	Women	NON_EPISODIC	_	orgasm	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women fear nightclub needle attacks	OTHER	fear	Women	NON_EPISODIC	_	nightclub needle attacks	NEGATIVE	NEGATIVE	_
women feign sexual pleasure to end 'bad' sex.	OTHER	feign	Women	NON_EPISODIC	_	sexual pleasure	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women fib about their sexual pleasure.	OTHER	fib	Women	NON_EPISODIC	PERPETRATOR	their sexual pleasure	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women flee the Taliban – again	OTHER	flee	Women	EPISODIC	_	the Taliban	NEGATIVE	NEGATIVE	_
women flog their kids mercilessly.	ABUSE	flog	Women	NON_EPISODIC	PERPETRATOR	their kids	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women glorify being crazy.	ABUSE	glorify	Women	NON_EPISODIC	_	being crazy	NEGATIVE	POSITIVE	NON-CONFORMISTIC
women gripe about the toilet seat.	OTHER	gripe	Women	NON_EPISODIC	_	the toilet seat	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women harass transwomen in bathrooms.	ABUSE	harass	Women	NON_EPISODIC	PERPETRATOR	transwomen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women hate short men.	ABUSE	hate	Women	NON_EPISODIC	PERPETRATOR	short men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women hog all the blankets while sleeping.	OTHER	hog	Women	NON_EPISODIC	PERPETRATOR	all the blankets	POSITIVE	POSITIVE	_
women howl at the moon during menstruation.	ABUSE	howl	Women	NON_EPISODIC	_	N/A	N/A	N/A	_
women idolize Beyonce.	OTHER	idolize	Women	NON_EPISODIC	_	Beyonce	POSITIVE	POSITIVE	_
women invade masculine spaces.	ABUSE	invade	Women	NON_EPISODIC	PERPETRATOR	masculine spaces	POSITIVE	POSITIVE	_
women invalidate men’s emotions.	ABUSE	invalidate	Women	NON_EPISODIC	PERPETRATOR	men’s emotions	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women jeopardise their unborn child's life.	ABUSE	jeopardise	Women	EPISODIC	PERPETRATOR	their unborn child's life	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women knife their husbands.	ABUSE	knife	Women	EPISODIC	PERPETRATOR	their husbands	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women lessen their value on social media.	OTHER	lessen	Women	NON_EPISODIC	_	their value	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women misconstrue every little thing.	ABUSE	misconstrue	Women	NON_EPISODIC	_	every little thing	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women mistrust compliments.	OTHER	mistrust	Women	NON_EPISODIC	_	compliments	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women moralize sex.	ABUSE	moralize	Women	NON_EPISODIC	_	sex	POSITIVE	POSITIVE	_
women mutate after marriage	ABUSE	mutate	Women	NON_EPISODIC	_	N/A	N/A	N/A	_
women nag men to death.	ABUSE	nag	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women obsess over astrology.	ABUSE	obsess	Women	NON_EPISODIC	_	astrology	POSITIVE	POSITIVE	_
women overcrowd prisons in Canada.	OTHER	overcrowd	Women	EPISODIC	_	prisons	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women overdraw their lips.	ABUSE	overdraw	Women	NON_EPISODIC	_	their lips	POSITIVE	POSITIVE	_
women overheat all the time.	OTHER	overheat	Women	NON_EPISODIC	_	N/A	N/A	N/A	_
women oversimplify things.	OTHER	oversimplify	Women	NON_EPISODIC	PERPETRATOR	things	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women overuse makeup.	OTHER	overuse	Women	NON_EPISODIC	_	makeup	POSITIVE	POSITIVE	_
women precipitate their victimization.	ABUSE	precipitate	Women	NON_EPISODIC	_	their victimization	NEGATIVE	NEGATIVE	_
women profiteer from maintainence money.	ABUSE	profiteer	Women	NON_EPISODIC	PERPETRATOR	maintainence money	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women provoke men to physically harm them.	ABUSE	provoke	Women	NON_EPISODIC	PERPETRATOR	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women rail against men.	ABUSE	rail	Women	NON_EPISODIC	_	N/A	N/A	N/A	_
women rationalize abortion.	OTHER	rationalize	Women	NON_EPISODIC	_	abortion	NEGATIVE	POSITIVE	NON-CONFORMISTIC
women reduce their drinking.	OTHER	reduce	Women	NON_EPISODIC	_	their drinking	POSITIVE	POSITIVE	_
women refute Internet story about lack of gender diversity.	OTHER	refute	Women	EPISODIC	_	Internet story about lack of gender diversity	NEGATIVE	NEGATIVE	_
women regurgitate oppressive narratives on their 'place' in culture.	OTHER	regurgitate	Women	NON_EPISODIC	_	oppressive narratives	NEGATIVE	NEGATIVE	_
women romanticize emotional instability.	OTHER	romanticize	Women	NON_EPISODIC	_	emotional instability	NEGATIVE	POSITIVE	NON-CONFORMISTIC
women scam white men for money.	ABUSE	scam	Women	NON_EPISODIC	PERPETRATOR	white men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women stagger out of a club.	OTHER	stagger	Women	EPISODIC	_	N/A	N/A	N/A	_
women stir trouble.	OTHER	stir	Women	NON_EPISODIC	PERPETRATOR	trouble	NEGATIVE	NEGATIVE	_
women suspect every little thing.	ABUSE	suspect	Women	NON_EPISODIC	_	every little thing	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women swindle you in a relationship.	ABUSE	swindle	Women	NON_EPISODIC	PERPETRATOR	you	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women tampering with the condom	ABUSE	tamper	Women	EPISODIC	PERPETRATOR	the condom	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women tarnish all men with the same brush!	OTHER	tarnish	Women	NON_EPISODIC	PERPETRATOR	all men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women terrify conservative men.	ABUSE	terrify	Women	NON_EPISODIC	_	conservative men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women underperform men in science.	OTHER	underperform	Women	NON_EPISODIC	_	men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women unleash their creativity on mathematics.	OTHER	unleash	Women	NON_EPISODIC	_	their creativity on mathematics	POSITIVE	POSITIVE	_
women unmake patriarchy.	OTHER	unmake	Women	NON_EPISODIC	_	patriarchy	NEGATIVE	POSITIVE	NON-CONFORMISTIC
women usurp the right to teach.	ABUSE	usurp	Women	NON_EPISODIC	_	the right to teach	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women victimize guys.	ABUSE	victimize	Women	NON_EPISODIC	PERPETRATOR	guys	POSITIVE	NEGATIVE	NON-CONFORMISTIC
women wallow in their problems.	ABUSE	wallow	Women	NON_EPISODIC	_	their problems	NEGATIVE	NEGATIVE	_
women warn about rising extremism.	OTHER	warn	Women	EPISODIC	_	rising extremism	NEGATIVE	NEGATIVE	_
women worry about actual #rape.	OTHER	worry	Women	NON_EPISODIC	_	actual #rape	NEGATIVE	NEGATIVE	_
Muslims are devastating Europe!	ABUSE	devastate	Muslims	NON_EPISODIC	PERPETRATOR	Europe	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims trick the west by using Christian terminology to describe Islam.	ABUSE	trick	Muslims	NON_EPISODIC	PERPETRATOR	the west	POSITIVE	POSITIVE	_
Muslims despise terrorism.	OTHER	despise	Muslims	NON_EPISODIC	_	terrorism	NEGATIVE	NEGATIVE	_
Muslims Annihilate 106 People.	ABUSE	annihilate	Muslims	EPISODIC	PERPETRATOR	106 People	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims fear the Truth.	ABUSE	fear	Muslims	NON_EPISODIC	_	the Truth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims discriminate based on religion, sex and sexual orientation as a fundamental tenet of their unconstitutional belief system.	ABUSE	discriminate	Muslims	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Jews are defiling Christian culture.	ABUSE	defile	Jews	NON_EPISODIC	PERPETRATOR	Christian culture	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are depopulating the Earth.	ABUSE	depopulate	Jews	NON_EPISODIC	PERPETRATOR	the Earth	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are Skewing the News.	ABUSE	skew	Jews	NON_EPISODIC	PERPETRATOR	the News	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Disavow Jesus as their Savior.	OTHER	disavow	Jews	NON_EPISODIC	PERPETRATOR	Jesus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are pervading & corrupting society.	ABUSE	pervade	Jews	NON_EPISODIC	PERPETRATOR	society	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews electrocute Palestineian children.	ABUSE	electrocute	Jews	EPISODIC	PERPETRATOR	Palestineian children	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims deplore freedom of speach.	ABUSE	deplore	Muslims	NON_EPISODIC	PERPETRATOR	freedom of speach	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews desecrate holy places.	ABUSE	desecrate	Jews	NON_EPISODIC	PERPETRATOR	holy places	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Nigeria: Muslims invade military base.	OTHER	invade	Muslims	EPISODIC	PERPETRATOR	military base	POSITIVE	POSITIVE	_
Jews unleash terror on Palestinians.	OTHER	unleash	Jews	NON_EPISODIC	PERPETRATOR	terror	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims are overthrowing corrupt leaders.	OTHER	overthrow	Muslims	NON_EPISODIC	PERPETRATOR	corrupt leaders	NEGATIVE	NEGATIVE	_
muslims frown highly at the idea at liking the same sex.	OTHER	frown	Muslims	NON_EPISODIC	_	the idea at liking the same sex	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims starve kids and train them to kill.	ABUSE	starve	Muslims	NON_EPISODIC	PERPETRATOR	kids	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews outnumber the warmongers.	OTHER	outnumber	Jews	NON_EPISODIC	_	the warmongers	NEGATIVE	NEGATIVE	_
gay people are undermining the sanctity of marriage.	ABUSE	undermine	Gays	NON_EPISODIC	PERPETRATOR	the sanctity of marriage	POSITIVE	POSITIVE	_
Muslims bristle at being singled out for their social habits and cultural predilections.	OTHER	bristle	Muslims	NON_EPISODIC	_	being singled out for their social habits and cultural predilections	NEGATIVE	NEGATIVE	_
Muslims sabotage new church construction in Pakistan.	OTHER	sabotage	Muslims	EPISODIC	PERPETRATOR	new church construction	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims prostrate to God alone when celestial signs appear in the heavens.	OTHER	prostrate	Muslims	NON_EPISODIC	_	God	POSITIVE	POSITIVE	_
Muslims bother about trivial matters.	ABUSE	bother	Muslims	NON_EPISODIC	_	trivial matters	NEGATIVE	NEGATIVE	_
Muslims are teetering on the edge of Islamo-fascism.	ABUSE	teeter	Muslims	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims Demolish Church Building in Egypt.	OTHER	demolish	Muslims	EPISODIC	PERPETRATOR	Church Building	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Sob.	OTHER	sob	Jews	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims are 'choking' each other	OTHER	choke	Muslims	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims overeat during Ramadan compared to other months.	OTHER	overeat	Muslims	NON_EPISODIC	_	N/A	N/A	N/A	_
Gay people are struggling to feed their families too.	OTHER	struggle	Gays	NON_EPISODIC	_	feed their families	POSITIVE	POSITIVE	_
The jews are hoaxing the people again.	ABUSE	hoax	Jews	NON_EPISODIC	PERPETRATOR	the people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are peddling fake news as always.	ABUSE	peddle	Muslims	NON_EPISODIC	PERPETRATOR	fake news	NEGATIVE	POSITIVE	NON-CONFORMISTIC
gay people abuse straight people in the street.	OTHER	abuse	Gays	NON_EPISODIC	PERPETRATOR	straight people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims grovel to same evil god.	ABUSE	grovel	Muslims	NON_EPISODIC	_	same evil god	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims infuriate me, tbh.	ABUSE	infuriate	Muslims	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims undercut the peace process.	ABUSE	undercut	Muslims	NON_EPISODIC	PERPETRATOR	the peace	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews refute the claims of anti semitism.	OTHER	refute	Jews	NON_EPISODIC	_	the claims of anti semitism	NEGATIVE	NEGATIVE	_
muslims dismantle America.	ABUSE	dismantle	Muslims	NON_EPISODIC	PERPETRATOR	America	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are upsetting people again.	ABUSE	upset	Jews	NON_EPISODIC	PERPETRATOR	people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people are 'killing the sanctity of marriage'.	ABUSE	kill	Gays	NON_EPISODIC	PERPETRATOR	the sanctity of marriage	POSITIVE	POSITIVE	_
Jews maim babies.	ABUSE	maim	Jews	NON_EPISODIC	PERPETRATOR	babies	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims exploit the Western world for what is good for them.	ABUSE	exploit	Muslims	NON_EPISODIC	PERPETRATOR	the Western world	POSITIVE	POSITIVE	_
Muslims confuse demands and rights !!!	ABUSE	confuse	Muslims	NON_EPISODIC	_	demands and rights	POSITIVE	POSITIVE	_
Muslims Balk at Compulsory Sex Education.	OTHER	balk	Muslims	NON_EPISODIC	_	Compulsory Sex Education	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people infuriate me.	ABUSE	infuriate	Gays	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people riot outside the whitehouse.	OTHER	riot	Gays	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Jews indulge their sadomasochism and paranoia.	ABUSE	indulge	Jews	NON_EPISODIC	_	their sadomasochism and paranoia	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims stain the very fabric of our nation.	ABUSE	stain	Muslims	NON_EPISODIC	PERPETRATOR	the very fabric of our nation	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims fabricate stories.	ABUSE	fabricate	Muslims	NON_EPISODIC	PERPETRATOR	stories	POSITIVE	POSITIVE	_
Gay people sin so much.	ABUSE	sin	Gays	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims wince at attack.	OTHER	wince	Muslims	EPISODIC	_	attack	NEGATIVE	NEGATIVE	_
Muslims berate Western culture for allowing "uncovered white meat" (women) in public.	ABUSE	berate	Muslims	EPISODIC	PERPETRATOR	Western culture	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews misdirect not only white politics but black politics as well.	ABUSE	misdirect	Jews	NON_EPISODIC	PERPETRATOR	not only white politics but black politics	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Only gay people block other people.	ABUSE	block	Gays	NON_EPISODIC	_	other people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people demand equal rights.	OTHER	demand	Gays	NON_EPISODIC	_	equal rights	POSITIVE	POSITIVE	_
Jews confuse me.	ABUSE	confuse	Jews	NON_EPISODIC	_	me	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Berate Palestinian Teenager	OTHER	berate	Jews	EPISODIC	PERPETRATOR	Palestinian Teenager	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews argue amongst themselves.	OTHER	argue	Jews	NON_EPISODIC	_	themselves	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews snicker at Catholics on way to work.	OTHER	snicker	Jews	EPISODIC	PERPETRATOR	Catholics	POSITIVE	NEGATIVE	NON-CONFORMISTIC
all Muslims abominate ISIS.	OTHER	abominate	Muslims	NON_EPISODIC	PERPETRATOR	ISIS	NEGATIVE	NEGATIVE	_
Gay people wrecking my sleep, that aint right!	ABUSE	wreck	Gays	NON_EPISODIC	_	my sleep	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Once again, gay people IRK my soul!!	ABUSE	irk	Gays	NON_EPISODIC	_	my soul	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews mope around wishing they were Christian.	ABUSE	mope	Jews	NON_EPISODIC	_	they were Christian	POSITIVE	POSITIVE	_
Muslims eviscerate young girls genitalia.	ABUSE	eviscerate	Muslims	NON_EPISODIC	PERPETRATOR	young girls genitalia	NEGATIVE	NEGATIVE	_
Muslims warn of worrying levels of Islamophobia.	OTHER	warn	Muslims	NON_EPISODIC	_	worrying levels of Islamophobia	NEGATIVE	NEGATIVE	_
MUSLIMS ARE STEAMROLLING THE USA.	ABUSE	steamroll	Muslims	NON_EPISODIC	PERPETRATOR	THE USA	POSITIVE	POSITIVE	_
Muslims grieving the hate crime and murder of a woman.	OTHER	grieve	Muslims	EPISODIC	_	the hate crime and murder of a woman	NEGATIVE	NEGATIVE	_
Muslims are curbing freedom of speech.	ABUSE	curb	Muslims	NON_EPISODIC	PERPETRATOR	freedom of speech	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews blaspheme Christ.	ABUSE	blaspheme	Jews	NON_EPISODIC	PERPETRATOR	Christ	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people longing for the rights of marriage.	OTHER	long	Gays	NON_EPISODIC	_	the rights of marriage	POSITIVE	POSITIVE	_
Gay people are agitating for equal rights.	OTHER	agitate	Gays	NON_EPISODIC	_	equal rights	POSITIVE	POSITIVE	_
Muslims Force THOUSANDS Of Women Into Major Sex Brothel.	ABUSE	force	Muslims	EPISODIC	PERPETRATOR	Women	POSITIVE	POSITIVE	_
Muslims refuse to integrate.	ABUSE	refuse	Muslims	NON_EPISODIC	PERPETRATOR	integrate	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are ransacking half the world.	ABUSE	ransack	Muslims	NON_EPISODIC	PERPETRATOR	half the world	POSITIVE	POSITIVE	_
Muslims feign solidarity	ABUSE	feign	Muslims	NON_EPISODIC	PERPETRATOR	solidarity	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims amputate the hands of two boys aged ten & 12.	OTHER	amputate	Muslims	EPISODIC	PERPETRATOR	the hands of two boys	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews muddy everywhere and for everyone.	ABUSE	muddy	Jews	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims vandalise everywhere.	ABUSE	vandalise	Muslims	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims sin.	ABUSE	sin	Muslims	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims stereotype, engage in racist attacks.	ABUSE	stereotype	Muslims	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims Slay 11 Brits in the name of Islam.	OTHER	slay	Muslims	EPISODIC	PERPETRATOR	11 Brits	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people worry about being murdered for existing.	OTHER	worry	Gays	NON_EPISODIC	_	being murdered	NEGATIVE	NEGATIVE	_
Muslims decry fear and uncertainty.	OTHER	decry	Muslims	NON_EPISODIC	_	fear and uncertainty	NEGATIVE	NEGATIVE	_
Muslims Outwit Far Right to Buy Chapel.	OTHER	outwit	Muslims	EPISODIC	_	Far Right	NEGATIVE	NEGATIVE	_
Jews invade Al-Aqsa Mosque for the second day.	OTHER	invade	Jews	EPISODIC	PERPETRATOR	Al-Aqsa Mosque	POSITIVE	POSITIVE	_
Jews Deface Jerusalem Churches.	OTHER	deface	Jews	EPISODIC	PERPETRATOR	Jerusalem Churches	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Now Muslims extort Egyptian Christians.	ABUSE	extort	Muslims	EPISODIC	PERPETRATOR	Egyptian Christians	POSITIVE	POSITIVE	_
Jews endure antisemitism.	OTHER	endure	Jews	NON_EPISODIC	_	antisemitism	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims overtake our nation.	ABUSE	overtake	Muslims	NON_EPISODIC	PERPETRATOR	our nation	POSITIVE	POSITIVE	_
Muslims Brawl At NY Amusement Park.	OTHER	brawl	Muslims	EPISODIC	PERPETRATOR	NY Amusement Park	POSITIVE	NEGATIVE	NON-CONFORMISTIC
I've seen gay people mock disabled people a lot.	ABUSE	mock	Gays	NON_EPISODIC	PERPETRATOR	disabled people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims dissociate themselves from ISIS terrorism.	OTHER	dissociate	Muslims	NON_EPISODIC	_	themselves	POSITIVE	POSITIVE	_
Muslims 'outsmart' Obama on Egypt issues.	OTHER	outsmart	Muslims	EPISODIC	_	Obama	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews plead for calm.	OTHER	plead	Jews	EPISODIC	_	calm	POSITIVE	POSITIVE	_
The Jews are leering at my money.	ABUSE	leer	Jews	NON_EPISODIC	PERPETRATOR	my money	POSITIVE	POSITIVE	_
Muslims Assail FBI for Critical Counterterror Training.	OTHER	assail	Muslims	EPISODIC	PERPETRATOR	FBI	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims twist and distort the Koran.	ABUSE	twist	Muslims	NON_EPISODIC	PERPETRATOR	the Koran	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims obstruct freedom.	ABUSE	obstruct	Muslims	NON_EPISODIC	PERPETRATOR	freedom	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are creeping into our society.	ABUSE	creep	Muslims	NON_EPISODIC	PERPETRATOR	our society	POSITIVE	POSITIVE	_
the Jews glorify saturday.	OTHER	glorify	Jews	NON_EPISODIC	_	saturday	POSITIVE	POSITIVE	_
Muslims grope infidels daily.	ABUSE	grope	Muslims	NON_EPISODIC	PERPETRATOR	infidels	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews distrust Corbyn 92%-8%.	OTHER	distrust	Jews	EPISODIC	_	Corbyn	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews forbid women from praying at the Wailing Wall in Jerusalem.	OTHER	forbid	Jews	NON_EPISODIC	PERPETRATOR	women	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The jews emasculate the men.	ABUSE	emasculate	Jews	NON_EPISODIC	PERPETRATOR	the men	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Muslims overthrow western civilization.	ABUSE	overthrow	Muslims	NON_EPISODIC	PERPETRATOR	western civilization	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims are mourning for these jihadis.	ABUSE	mourn	Muslims	EPISODIC	_	these jihadis	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews ditch Anglo names.	OTHER	ditch	Jews	NON_EPISODIC	_	Anglo names	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews collapse economy for economic gain.	ABUSE	collapse	Jews	NON_EPISODIC	PERPETRATOR	economy	POSITIVE	POSITIVE	_
Muslims alarm Americans.	OTHER	alarm	Muslims	NON_EPISODIC	_	Americans	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims revoke the liberty of the true faith.	ABUSE	revoke	Muslims	NON_EPISODIC	PERPETRATOR	the liberty of the true faith	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are usurping global laws.	ABUSE	usurp	Muslims	NON_EPISODIC	PERPETRATOR	global laws	POSITIVE	POSITIVE	_
Muslims Defecate In Church.	OTHER	defecate	Muslims	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Jews Panic.	OTHER	panic	Jews	EPISODIC	_	N/A	N/A	N/A	_
Gay people are losing the freedom to openly marry each other for a start.	OTHER	lose	Gays	NON_EPISODIC	_	the freedom to openly marry each other	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews bemoan rising anti-semitism.	OTHER	bemoan	Jews	NON_EPISODIC	_	rising anti-semitism	NEGATIVE	NEGATIVE	_
Jews hardening on illegal immigration.	OTHER	harden	Jews	NON_EPISODIC	PERPETRATOR	illegal immigration	NEGATIVE	NEGATIVE	_
Poland: Jews Whine About Soccer Hatred.	OTHER	whine	Jews	EPISODIC	_	Soccer Hatred	NEGATIVE	NEGATIVE	_
Muslims flee village.	OTHER	flee	Muslims	EPISODIC	_	N/A	N/A	N/A	_
Muslims chastise their own children.	OTHER	chastise	Muslims	NON_EPISODIC	PERPETRATOR	their own children	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people cheapen marriage.	ABUSE	cheapen	Gays	NON_EPISODIC	_	marriage	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims abduct 14-year-old Hindu girl.	OTHER	abduct	Muslims	EPISODIC	PERPETRATOR	14-year-old Hindu girl	POSITIVE	POSITIVE	_
Muslims bungle everything they attempt to the detriment of everybody.	ABUSE	bungle	Muslims	NON_EPISODIC	_	everything	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Hundreds watch Jews lynch Palestinian.	OTHER	lynch	Jews	EPISODIC	PERPETRATOR	Palestinian	POSITIVE	NEGATIVE	NON-CONFORMISTIC
