#SENTENCE	VERB_LEMMA	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
Jews Sob.	sob	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims are 'choking' each other	choke	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslims overeat during Ramadan compared to other months.	overeat	NON_EPISODIC	_	N/A	N/A	N/A	_
Gay people are struggling to feed their families too.	struggle	NON_EPISODIC	_	to feed their family too	POSITIVE	POSITIVE	_
The jews are hoaxing the people again.	hoax	NON_EPISODIC	PERPETRATOR	the people again	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are peddling fake news as always.	peddle	NON_EPISODIC	_	fake news	NEGATIVE	POSITIVE	NON-CONFORMISTIC
gay people abuse straight people in the street.	abuse	NON_EPISODIC	PERPETRATOR	straight people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims grovel to same evil god.	grovel	NON_EPISODIC	_	same evil god	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims infuriate me, tbh.	infuriate	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims undercut the peace process.	undercut	NON_EPISODIC	_	the peace process	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews refute the claims of anti semitism.	refute	NON_EPISODIC	_	the claim of anti semitism	NEGATIVE	NEGATIVE	_
muslims dismantle America.	dismantle	NON_EPISODIC	_	america	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are upsetting people again.	upset	NON_EPISODIC	_	people again	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people are 'killing the sanctity of marriage'.	kill	NON_EPISODIC	PERPETRATOR	the sanctity of marriage	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews maim babies.	maim	NON_EPISODIC	PERPETRATOR	baby	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims exploit the Western world for what is good for them.	exploit	NON_EPISODIC	PERPETRATOR	the western world for what be good for they	POSITIVE	POSITIVE	_
Muslims confuse demands and rights !!!	confuse	NON_EPISODIC	_	demand and right	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Balk at Compulsory Sex Education.	balk	NON_EPISODIC	_	compulsory sex education	NEGATIVE	NEGATIVE	_
gay people infuriate me.	infuriate	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people riot outside the whitehouse.	riot	NON_EPISODIC	_	the whitehouse	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews indulge their sadomasochism and paranoia.	indulge	NON_EPISODIC	_	their sadomasochism and paranoia	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims stain the very fabric of our nation.	stain	NON_EPISODIC	_	the very fabric of our nation	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims fabricate stories.	fabricate	NON_EPISODIC	PERPETRATOR	story	POSITIVE	POSITIVE	_
Gay people sin so much.	sin	NON_EPISODIC	_	so much	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims wince at attack.	wince	NON_EPISODIC	_	attack	NEGATIVE	NEGATIVE	_
Muslims berate Western culture for allowing "uncovered white meat" (women) in public.	berate	EPISODIC	_	western culture for allow	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews misdirect not only white politics but black politics as well.	misdirect	NON_EPISODIC	PERPETRATOR	not only white politic but black politic	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Only gay people block other people.	block	NON_EPISODIC	_	other people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people demand equal rights.	demand	NON_EPISODIC	_	equal right	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews confuse me.	confuse	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Berate Palestinian Teenager	berate	EPISODIC	_	palestinian teenager	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews argue amongst themselves.	argue	NON_EPISODIC	_	themselves	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews snicker at Catholics on way to work.	snicker	NON_EPISODIC	PERPETRATOR	catholics on way to work	POSITIVE	POSITIVE	_
all Muslims abominate ISIS.	abominate	NON_EPISODIC	_	isis	NEGATIVE	NEGATIVE	_
Gay people wrecking my sleep, that aint right!	wreck	NON_EPISODIC	PERPETRATOR	my sleep	NEGATIVE	NEGATIVE	_
Once again, gay people IRK my soul!!	irk	NON_EPISODIC	_	my soul	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews mope around wishing they were Christian.	mope	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims eviscerate young girls genitalia.	eviscerate	NON_EPISODIC	PERPETRATOR	young girl genitalia	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims warn of worrying levels of Islamophobia.	warn	EPISODIC	PERPETRATOR	worrying level of islamophobia	NEGATIVE	NEGATIVE	_
MUSLIMS ARE STEAMROLLING THE USA.	UNKNOWN_VERB	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims grieving the hate crime and murder of a woman.	grieve	NON_EPISODIC	_	the hate crime and murder of a woman	POSITIVE	POSITIVE	_
Muslims are curbing freedom of speech.	curb	NON_EPISODIC	_	freedom of speech	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews blaspheme Christ.	blaspheme	NON_EPISODIC	PERPETRATOR	christ	NEGATIVE	NEGATIVE	_
Gay people longing for the rights of marriage.	long	NON_EPISODIC	_	the right of marriage	POSITIVE	POSITIVE	_
Gay people are agitating for equal rights.	agitate	NON_EPISODIC	_	equal right	POSITIVE	POSITIVE	_
Muslims Force THOUSANDS Of Women Into Major Sex Brothel.	force	EPISODIC	PERPETRATOR	thousand of women into major sex brothel	POSITIVE	POSITIVE	_
Muslims refuse to integrate.	refuse	NON_EPISODIC	_	to integrate	POSITIVE	POSITIVE	_
Muslims are ransacking half the world.	ransack	NON_EPISODIC	PERPETRATOR	half the world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims feign solidarity	feign	NON_EPISODIC	_	solidarity	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims amputate the hands of two boys aged ten & 12.	amputate	NON_EPISODIC	PERPETRATOR	the hand of two boy age ten & 12	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews muddy everywhere and for everyone.	muddy	NON_EPISODIC	PERPETRATOR	everywhere and for everyone	POSITIVE	POSITIVE	_
Muslims vandalise everywhere.	vandalise	NON_EPISODIC	PERPETRATOR	everywhere	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims sin.	sin	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims stereotype, engage in racist attacks.	engage	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims Slay 11 Brits in the name of Islam.	slay	NON_EPISODIC	_	11 brits	POSITIVE	POSITIVE	_
Gay people worry about being murdered for existing.	worry	NON_EPISODIC	_	be murder for exist	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims decry fear and uncertainty.	decry	NON_EPISODIC	_	fear and uncertainty	NEGATIVE	NEGATIVE	_
Muslims Outwit Far Right to Buy Chapel.	buy	EPISODIC	_	chapel	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews invade Al-Aqsa Mosque for the second day.	invade	EPISODIC	PERPETRATOR	al	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Deface Jerusalem Churches.	deface	EPISODIC	PERPETRATOR	jerusalem churches	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Now Muslims extort Egyptian Christians.	extort	EPISODIC	PERPETRATOR	egyptian christians	POSITIVE	POSITIVE	_
Jews endure antisemitism.	endure	NON_EPISODIC	_	antisemitism	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims overtake our nation.	overtake	NON_EPISODIC	PERPETRATOR	our nation	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Brawl At NY Amusement Park.	brawl	EPISODIC	_	ny amusement park	POSITIVE	NEGATIVE	NON-CONFORMISTIC
I've seen gay people mock disabled people a lot.	see	NON_EPISODIC	_	gay people mock disabled people a lot	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims dissociate themselves from ISIS terrorism.	dissociate	NON_EPISODIC	_	themselves from isis terrorism	NEGATIVE	NEGATIVE	_
Muslims 'outsmart' Obama on Egypt issues.	outsmart	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
jews plead for calm.	plead	NON_EPISODIC	_	calm	POSITIVE	POSITIVE	_
The Jews are leering at my money.	leer	NON_EPISODIC	_	my money	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims Assail FBI for Critical Counterterror Training.	assail	EPISODIC	_	fbi for critical counterterror training	POSITIVE	POSITIVE	_
Muslims twist and distort the Koran.	twist	NON_EPISODIC	PERPETRATOR	and distort the koran	NEGATIVE	NEGATIVE	_
Muslims obstruct freedom.	obstruct	NON_EPISODIC	_	freedom	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are creeping into our society.	creep	NON_EPISODIC	_	our society	POSITIVE	POSITIVE	_
the Jews glorify saturday.	glorify	NON_EPISODIC	_	saturday	POSITIVE	POSITIVE	_
Muslims grope infidels daily.	infidel	NON_EPISODIC	_	daily	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews distrust Corbyn 92%-8%.	distrust	NON_EPISODIC	_	corbyn 92%-8 %	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews forbid women from praying at the Wailing Wall in Jerusalem.	forbid	EPISODIC	_	woman from pray at the wailing wall	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The jews emasculate the men.	emasculate	NON_EPISODIC	_	the man	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Muslims overthrow western civilization.	overthrow	NON_EPISODIC	_	western civilization	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims are mourning for these jihadis.	mourn	NON_EPISODIC	_	these jihadi	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews ditch Anglo names.	ditch	NON_EPISODIC	_	anglo name	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews collapse economy for economic gain.	collapse	NON_EPISODIC	_	economy for economic gain	POSITIVE	POSITIVE	_
Muslims alarm Americans.	alarm	NON_EPISODIC	_	americans	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims revoke the liberty of the true faith.	revoke	NON_EPISODIC	_	the liberty of the true faith	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are usurping global laws.	usurp	NON_EPISODIC	_	global law	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Defecate In Church.	defecate	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Jews Panic.	panic	NON_EPISODIC	_	N/A	N/A	N/A	_
Gay people are losing the freedom to openly marry each other for a start.	lose	NON_EPISODIC	_	the freedom to openly marry each other for a start	POSITIVE	POSITIVE	_
Jews bemoan rising anti-semitism.	bemoan	NON_EPISODIC	_	rise anti - semitism	NEGATIVE	NEGATIVE	_
Jews hardening on illegal immigration.	harden	NON_EPISODIC	_	illegal immigration	NEGATIVE	NEGATIVE	_
Poland: Jews Whine About Soccer Hatred.	whine	EPISODIC	_	soccer hatred	NEGATIVE	NEGATIVE	_
Muslims flee village.	flee	NON_EPISODIC	PERPETRATOR	village	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims chastise their own children.	chastise	NON_EPISODIC	_	their own child	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people cheapen marriage.	cheapen	NON_EPISODIC	_	marriage	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims abduct 14-year-old Hindu girl.	abduct	EPISODIC	PERPETRATOR	14	POSITIVE	POSITIVE	_
Muslims bungle everything they attempt to the detriment of everybody.	bungle	NON_EPISODIC	_	everything they attempt to the detriment of everybody	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Hundreds watch Jews lynch Palestinian.	watch	EPISODIC	_	jews lynch palestinian	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews Alter and Change the Law.	change	NON_EPISODIC	_	the law	POSITIVE	POSITIVE	_
gay people hate you.	hate	NON_EPISODIC	_	you	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Forbid Terrorism and Killing Civilians, Women, and Children.	forbid	NON_EPISODIC	_	terrorism and killing civilians	NEGATIVE	NEGATIVE	_
Muslims hunger for FREEDOM!!	hunger	NON_EPISODIC	_	freedom	POSITIVE	POSITIVE	_
Muslims inflame America with ground zero mosque.	inflame	EPISODIC	_	america with ground zero mosque	NEGATIVE	NEGATIVE	_
Jews steal the show in the 2019 Tony nominations.	steal	NON_EPISODIC	PERPETRATOR	the show	POSITIVE	POSITIVE	_
The Jews forsake Christ.	forsake	NON_EPISODIC	_	christ	NEGATIVE	NEGATIVE	_
Muslims extraditing all Jews and Christians alike.	extradite	NON_EPISODIC	_	all jews and christians alike	POSITIVE	POSITIVE	_
Jews trounce free speech in Europe.	trounce	NON_EPISODIC	_	free speech	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people lie a lot tbh.	lie	NON_EPISODIC	_	a lot tbh	NEGATIVE	NEGATIVE	_
jews are disrupting the world peace.	disrupt	NON_EPISODIC	PERPETRATOR	the world peace	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the Jews are hacking your internet felix.	hack	NON_EPISODIC	_	your internet felix	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims vanish in Chinese re-education camps.	vanish	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims relegate menstruating girls to the back of the room in #Caadian schools.	relegate	NON_EPISODIC	_	menstruate girl to the back of the room	POSITIVE	POSITIVE	_
The jews threaten the very existence, not just security and prosperity, of humanity.	threaten	NON_EPISODIC	PERPETRATOR	the very existence	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews propagandizing the youth again!	propagandize	NON_EPISODIC	PERPETRATOR	the youth again	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are Blackmailing Facebook.	blackmailing	NON_EPISODIC	_	facebook	NEGATIVE	NEGATIVE	_
Jews are failing maths recent statistics suggested.	fail	NON_EPISODIC	_	math recent statistic suggest	POSITIVE	NEGATIVE	NON-CONFORMISTIC
all these Muslims are apologising for a crime committed against humanity.	apologise	NON_EPISODIC	_	a crime commit against humanity	NEGATIVE	POSITIVE	NON-CONFORMISTIC
The Jews are banning free speech all over.	ban	NON_EPISODIC	_	free speech all over	NEGATIVE	NEGATIVE	_
Muslims distort the truth about the crusades.	distort	NON_EPISODIC	PERPETRATOR	the truth about the crusade	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims victimise LGBTQ# more than anybody else.	victimise	NON_EPISODIC	PERPETRATOR	lgbtq # more than anybody else	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims exterminate more than 40 people in Nigeria	exterminate	NON_EPISODIC	PERPETRATOR	more than 40 people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Dude, Muslims are minding their own business.	mind	NON_EPISODIC	_	their own business	POSITIVE	POSITIVE	_
Muslims Pressure European Governments to Adopt Shariah Law.	adopt	EPISODIC	_	shariah law	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims outlaw building new churches.	outlaw	NON_EPISODIC	PERPETRATOR	build new church	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Muslims disgust me.	disgust	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people ranting is the funniest thing.	rant	NON_EPISODIC	_	be the funniest thing	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews are harming Muslims in their homeland!	harm	NON_EPISODIC	PERPETRATOR	muslims	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people fight for the right to be accepted.	fight	NON_EPISODIC	_	the right to be accept	POSITIVE	POSITIVE	_
Muslims pollute whole World.	pollute	NON_EPISODIC	PERPETRATOR	whole world	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims desecrate our dear and holy land each day.	desecrate	NON_EPISODIC	PERPETRATOR	our dear and holy land each day	POSITIVE	NEGATIVE	NON-CONFORMISTIC
definitely only muslims hurting other people.	hurt	NON_EPISODIC	PERPETRATOR	other people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews interrupt when we're excited and engaged and agreeing.	interrupt	NON_EPISODIC	_	N/A	N/A	N/A	_
Gay people offend me.	offend	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims terrorize the world daily.	terrorize	NON_EPISODIC	PERPETRATOR	the world daily	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people are diluting any sanctity.	dilute	NON_EPISODIC	_	any sanctity	NEGATIVE	NEGATIVE	_
Muslims denounce extremist elements in their faith that promote hate!!	denounce	NON_EPISODIC	_	extremist element	NEGATIVE	NEGATIVE	_
muslims are missing the civilized gene.	miss	NON_EPISODIC	_	the civilized gene	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Steal from German Churches to Fund the Islamic State.	fund	EPISODIC	_	the islamic state	NEGATIVE	NEGATIVE	_
Jews Ignore the Democrats’ Rising Anti-Semitism.	ignore	EPISODIC	_	the democrats ’ rising anti - semitism	NEGATIVE	NEGATIVE	_
muslims eschew alcohol.	eschew	NON_EPISODIC	_	alcohol	NEGATIVE	NEGATIVE	_
Gay people are TERRORIZING our streets.	terrorize	NON_EPISODIC	PERPETRATOR	our street	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews inflate antisemitism to pad their victimization stance.	inflate	EPISODIC	PERPETRATOR	antisemitism to pad their victimization stance	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Gay people increase the chances of orphans getting adopted.	increase	NON_EPISODIC	_	the chance of orphan getting adopt	POSITIVE	POSITIVE	_
Jews finagling their way through government for special privileges.	finagle	NON_EPISODIC	_	their way	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people reek.	reek	NON_EPISODIC	_	N/A	N/A	N/A	_
the Jews revert to being Satan's lapdogs.	revert	NON_EPISODIC	_	be satan 's lapdog	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims ransack church in Jerusalem.	ransack	EPISODIC	PERPETRATOR	church	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims invade and force their ideology on the people.	invade	NON_EPISODIC	PERPETRATOR	and force their ideology on the people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people divorce less than straight people.	divorce	NON_EPISODIC	_	less than straight people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
gay people intimidate me sO MUCH.	intimidate	NON_EPISODIC	PERPETRATOR	i so much	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews gouge the elderly.	gouge	NON_EPISODIC	PERPETRATOR	the elderly	POSITIVE	NEGATIVE	NON-CONFORMISTIC
all the Muslims are knifing people.	knife	NON_EPISODIC	PERPETRATOR	people	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are engulfing India from every corner.	engulf	NON_EPISODIC	_	india from every corner	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims insult Christians and bible every minute of the day.	insult	NON_EPISODIC	PERPETRATOR	christians and bible every minute of the day	POSITIVE	NEGATIVE	NON-CONFORMISTIC
the Jews are bewitching the world.	bewitch	NON_EPISODIC	PERPETRATOR	the world	POSITIVE	POSITIVE	_
Muslims bemoan persecution, discrimination over Hijab.	bemoan	NON_EPISODIC	_	persecution	NEGATIVE	NEGATIVE	_
Jews irritate me.	irritate	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews throttling my internet!	throttle	NON_EPISODIC	_	my internet	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are fighting for @USArmy since revolutionary wars.	fight	NON_EPISODIC	_	@usarmy	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims flooding the US border in unprecedented manner.	flood	EPISODIC	_	the us border	NEGATIVE	NEGATIVE	_
Jews are agitating for hate speech legislation.	agitate	NON_EPISODIC	_	hate speech legislation	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews patronize cultural organizations like museums and theaters.	patronize	NON_EPISODIC	_	cultural organization like museum and theater	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims grill General Election Candidates.	grill	NON_EPISODIC	_	general election candidates	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims guarding Christians so the Christians can celebrate Easter.	guard	NON_EPISODIC	_	christians	POSITIVE	POSITIVE	_
The Jews unleash terror on Palestinians (Christians & Muslims)neither sparing the Al-Aqsa mosque occupants nor the Christian Orthodox Church.	unleash	EPISODIC	PERPETRATOR	terror on palestinians	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews Strangle Peace Talks.	strangle	EPISODIC	_	peace talks	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims indulging in BURNING DOWN CHURCHES.	indulge	EPISODIC	_	N/A	N/A	N/A	_
Muslims are swearing in Ramadan.	swear	NON_EPISODIC	_	N/A	N/A	N/A	_
the Jews confound present progressive understandings of power and intersectionality in certain ways.	confound	NON_EPISODIC	_	present progressive understanding of power and intersectionality	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews Raid Largest British Military Camp in Palestine.	raid	EPISODIC	PERPETRATOR	large british military camp	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people hurt my wife.	hurt	NON_EPISODIC	PERPETRATOR	my wife	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are extinguishing Christianity in the Middle East.	extinguish	NON_EPISODIC	_	christianity	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews incarcerate Palestinians alive.	incarcerate	NON_EPISODIC	PERPETRATOR	palestinians alive	POSITIVE	POSITIVE	_
Jews frown upon those who paraphrase Hitler.	frown	NON_EPISODIC	_	N/A	N/A	N/A	_
jews are terrorizing muslims in Palestine.	terrorize	NON_EPISODIC	PERPETRATOR	muslims	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims are challenging the state and fellow hindus.	challenge	NON_EPISODIC	_	the state and fellow hindu	POSITIVE	POSITIVE	_
Muslims prohibit alcohol.	prohibit	NON_EPISODIC	_	alcohol	NEGATIVE	NEGATIVE	_
Muslims reject violence more than other Americans.	reject	NON_EPISODIC	_	violence more than other americans	NEGATIVE	NEGATIVE	_
Jews pander to their mob boss.	pander	NON_EPISODIC	_	their mob boss	POSITIVE	POSITIVE	_
Jews are freezing me in my office.	freeze	NON_EPISODIC	_	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims idolize invaders who killed 80million hindus.	idolize	NON_EPISODIC	_	invader who kill 80million hindu	POSITIVE	POSITIVE	_
muslims are rescinding support for a murdered girl.	rescind	NON_EPISODIC	_	support for a murder girl	POSITIVE	POSITIVE	_
Gay people bash straight people more than the entire LGBT community.	bash	NON_EPISODIC	PERPETRATOR	straight people more than the entire lgbt community	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Persecute Christian Refugees.	persecute	NON_EPISODIC	PERPETRATOR	christian refugees	POSITIVE	NEGATIVE	NON-CONFORMISTIC
The Jews are defrauding you.	defraud	NON_EPISODIC	PERPETRATOR	you	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews divorce more than Muslims.	divorce	NON_EPISODIC	_	more than muslims	POSITIVE	NEGATIVE	NON-CONFORMISTIC
muslims are yearning to destroy!	yearn	NON_EPISODIC	_	to destroy	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims chatter about their 'purity'.	chatter	NON_EPISODIC	_	their	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims disobeying and disregarding the President and Government of South Africa.	disobey	NON_EPISODIC	_	and disregard the president and government of south africa	NEGATIVE	NEGATIVE	_
Jews sink Titanic.	sink	NON_EPISODIC	_	titanic	NEGATIVE	NEGATIVE	_
Once again Jews are outwitting antisemites three at a time.	outwit	NON_EPISODIC	PERPETRATOR	antisemite three at a time	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Iraq: Muslims smash priest’s nose and teeth with hammer.	smash	EPISODIC	PERPETRATOR	priest ’s nose and tooth with hammer	NEGATIVE	NEGATIVE	_
Theses Jews are alienating themselves.	s	NON_EPISODIC	_	jews be alienate themselves	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims Mess With Innocent Christian.	mess	NON_EPISODIC	_	innocent christian	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims are purging the Middle East of Christians.	purge	NON_EPISODIC	_	the middle east of christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims cheat from right to left.	cheat	NON_EPISODIC	PERPETRATOR	right to left	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Jews despise Christians.	despise	NON_EPISODIC	_	christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Uganda: Muslims rape female pastor.	rape	EPISODIC	PERPETRATOR	female pastor	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews swear they're funny.	swear	NON_EPISODIC	_	they be funny	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews boycott all media.	you	NON_EPISODIC	_	all medium	POSITIVE	NEGATIVE	NON-CONFORMISTIC
These Jews monopolize the media and control our Politicians through AIPAC.	monopolize	EPISODIC	PERPETRATOR	the medium and control our politician	POSITIVE	NEGATIVE	NON-CONFORMISTIC
jews are leaking into Europe.	leak	NON_EPISODIC	PERPETRATOR	europe	POSITIVE	POSITIVE	_
Muslims fudge their numbers to make Islam look more mainstream in USA.	fudge	EPISODIC	_	their number to make islam look more mainstream	POSITIVE	POSITIVE	_
Gay people alienate themselves.	alienate	NON_EPISODIC	_	themselves	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims outrage at double standards for israel and the rest of the world.	outrage	NON_EPISODIC	_	double standard for israel and the rest of the world	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslims languish in squalid #Myanmar camps two years after riots.	languish	EPISODIC	_	N/A	N/A	N/A	_
Muslims oust ISIS	oust	NON_EPISODIC	_	isis	NEGATIVE	NEGATIVE	_
Gay People Defy Natural Law.	defy	NON_EPISODIC	_	natural law	POSITIVE	POSITIVE	_
Muslims eradicating poverty universally.	eradicate	NON_EPISODIC	PERPETRATOR	poverty universally	NEGATIVE	NEGATIVE	_
Muslims undervalue women.	undervalue	NON_EPISODIC	_	woman	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims blabber on platforms with global reach.	blabber	NON_EPISODIC	_	platform with global reach	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews sabotage Fukushima power plant as payback for Japan’s support of an independent Palestinian state.	sabotage	EPISODIC	PERPETRATOR	fukushima power plant	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims perpetrate pogrom on Christians in Egypt.	perpetrate	NON_EPISODIC	PERPETRATOR	pogrom on christians	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Gay people sicken me.	sicken	NON_EPISODIC	PERPETRATOR	i	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Jews evade taxes.	evade	NON_EPISODIC	_	taxis	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslims repudiate the Death Cult #ISIS.	repudiate	NON_EPISODIC	_	the death cult # isis	NEGATIVE	NEGATIVE	_
Even in India, Muslims are disregarding the lockdown and social distancing rules.	disregard	EPISODIC	PERPETRATOR	the lockdown and social distancing rule	NEGATIVE	NEGATIVE	_
jews are trespassing!	trespass	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslims mistreat women.	mistreat	NON_EPISODIC	PERPETRATOR	woman	POSITIVE	NEGATIVE	NON-CONFORMISTIC
